name,draft,per
Andrew Bogut,1,15.3
Anthony Bennett,1,11.0
Anthony Davis,1,31.5
Blake Griffin,1,23.2
Dwight Howard,1,18.2
John Wall,1,20.1
Kyrie Irving,1,21.0
LeBron James,1,26.1
Tim Duncan,1,21.5
Derrick Williams,2,12.5
Evan Turner,2,11.6
Kevin Durant,2,27.8
LaMarcus Aldridge,2,22.0
Marvin Williams,2,11.5
Michael Kidd-Gilchrist,2,15.2
Tyson Chandler,2,20.6
Victor Oladipo,2,16.6
Al Horford,3,22.0
Bradley Beal,3,13.8
Carmelo Anthony,3,21.8
Deron Williams,3,15.0
Derrick Favors,3,22.6
Enes Kanter,3,18.2
James Harden,3,27.0
Mike Dunleavy,3,11.3
O.J. Mayo,3,13.5
Pau Gasol,3,22.7
Chris Bosh,4,20.0
Chris Paul,4,24.9
Cody Zeller,4,14.3
Dion Waiters,4,10.6
Mike Conley,4,19.2
Russell Westbrook,4,30.1
Shaun Livingston,4,13.6
Tristan Thompson,4,15.9
Tyreke Evans,4,17.2
Wesley Johnson,4,11.9
DeMarcus Cousins,5,24.7
Devin Harris,5,15.2
Dwyane Wade,5,21.8
Jeff Green,5,14.4
Jonas Valanciunas,5,20.2
Kevin Garnett,5,15.4
Kevin Love,5,19.5
Mike Miller,5,4.3
Ricky Rubio,5,15.9
Thomas Robinson,5,13.0
Vince Carter,5,10.1
Chris Kaman,6,15.6
Damian Lillard,6,21.2
Ben McLemore,7,9.8
Bismack Biyombo,7,15.1
Corey Brewer,7,14.4
Eric Gordon,7,13.0
Greg Monroe,7,21.1
Harrison Barnes,7,13.2
Kirk Hinrich,7,6.9
Luol Deng,7,16.5
Stephen Curry,7,27.9
Al-Farouq Aminu,8,15.1
Andre Miller,8,14.1
Brandan Wright,8,21.9
Brandon Knight,8,17.6
Channing Frye,8,9.4
Jamal Crawford,8,17.6
Jordan Hill,8,16.4
Kentavious Caldwell-Pope,8,10.7
Rudy Gay,8,19.5
Terrence Ross,8,11.5
Amar'e Stoudemire,9,20.3
Andre Drummond,9,20.4
Andre Iguodala,9,11.8
D.J. Augustin,9,15.7
DeMar DeRozan,9,16.1
Gordon Hayward,9,20.2
Kemba Walker,9,18.7
Shawn Marion,9,10.9
Trey Burke,9,12.5
Austin Rivers,10,10.6
Brandon Jennings,10,19.8
Brook Lopez,10,20.2
Caron Butler,10,8.3
Jason Terry,10,11.8
Jimmer Fredette,10,10.5
Joe Johnson,10,14.2
Paul Pierce,10,15.7
Spencer Hawes,10,11.6
J.J. Redick,11,14.8
Jerryd Bayless,11,12.5
Michael Carter-Williams,11,13.6
Alec Burks,12,13.1
Gerald Henderson,12,13.2
Jason Thompson,12,9.2
Jeremy Lamb,12,15.5
Nick Collison,12,11.1
Steven Adams,12,13.8
Thaddeus Young,12,15.7
Ed Davis,13,20.0
Kelly Olynyk,13,15.6
Kendall Marshall,13,12.6
Markieff Morris,13,15.5
Richard Jefferson,13,10.9
Thabo Sefolosha,13,13.8
Tyler Hansbrough,13,11.8
John Henson,14,18.4
Kris Humphries,14,15.8
Luke Ridnour,14,9.7
Marcus Morris,14,14.0
Patrick Patterson,14,15.2
Al Jefferson,15,20.4
Giannis Antetokounmpo,15,15.4
Kawhi Leonard,15,20.6
Larry Sanders,15,15.3
Maurice Harkless,15,8.9
Robin Lopez,15,16.2
Rodney Stuckey,15,16.8
James Johnson,16,18.5
Marreese Speights,16,19.4
